Issue;Summary; Status; SPs
BSTI-185;Desarrollo - Servicio de Imputación de débitos y créditos sobre caja de ahorro. (Integracion Sistema Interfaces Core);In Progress;5
BSTI-185;Desarrollo - Servicio de Imputación de débitos y créditos sobre caja de ahorro. (Integracion Sistema Interfaces Core);In Progress;0
BSTI-184;Desarrollo - Consulta Ingresos brutos (Integracion Sistema de Interfaces Core);Open;3
BSTI-184;Desarrollo - Consulta Ingresos brutos (Integracion Sistema de Interfaces Core);Open;0
BSTI-183;Desarrollo - Servicio de Consulta de Datos de Clientes + Relaciones Apoderados (Integracion Sistema interfaces Core);Open;3
BSTI-183;Desarrollo - Servicio de Consulta de Datos de Clientes + Relaciones Apoderados (Integracion Sistema interfaces Core);Open;0
BSTI-168;Testing - Regresionar integraciones;Open;4
BSTI-168;Testing - Regresionar integraciones;Open;0
BSTI-167;Testing - Integracion Envio Mails (MACRO);Closed;3
BSTI-167;Testing - Integracion Envio Mails (MACRO);Closed;0
BSTI-166;Testing - Integracion Issues Produccion (MACRO);Open;4
BSTI-166;Testing - Integracion Issues Produccion (MACRO);Open;0
BSTI-163;Testing - Parametria contables;Open;8
BSTI-163;Testing - Parametria contables;Open;0
BSTI-162;Testing - Contabilidad - Plan de cuentas & Cabeceras Contables;Open;3
BSTI-162;Testing - Contabilidad - Plan de cuentas & Cabeceras Contables;Open;0
BSTI-161;Testing - Otra parametria y datos adicionales;Open;8
BSTI-161;Testing - Otra parametria y datos adicionales;Open;0
BSTI-160;Testing - VUELCOS DE POSICIONES - Plazos Fijos;Open;8
BSTI-160;Testing - VUELCOS DE POSICIONES - Plazos Fijos;Open;0
BSTI-159;Testing - VUELCOS DE POSICIONES - Órdenes y Operaciones no liquidadas;Open;8
BSTI-159;Testing - VUELCOS DE POSICIONES - Órdenes y Operaciones no liquidadas;Open;0
BSTI-158;Testing - VUELCOS DE POSICIONES - Posiciones en Otros custodios;Open;8
BSTI-158;Testing - VUELCOS DE POSICIONES - Posiciones en Otros custodios;Open;0
BSTI-157;Testing - VUELCOS DE POSICIONES - Vuelco Tenencias Caja Valores;Open;8
BSTI-157;Testing - VUELCOS DE POSICIONES - Vuelco Tenencias Caja Valores;Open;0
BSTI-156;Testing - VUELCOS DE CLIENTES - Vuelco Cuentas de Liquidación Monetaria y de Títulos;Open;8
BSTI-156;Testing - VUELCOS DE CLIENTES - Vuelco Cuentas de Liquidación Monetaria y de Títulos;Open;0
BSTI-155;Testing - VUELCOS DE CLIENTES - Vuelco Inicial Relaciones con Intervinientes;Open;8
BSTI-155;Testing - VUELCOS DE CLIENTES - Vuelco Inicial Relaciones con Intervinientes;Open;0
BSTI-154;Testing - VUELCOS DE CLIENTES - Vuelco inicial Cuentas Comitentes;Open;8
BSTI-154;Testing - VUELCOS DE CLIENTES - Vuelco inicial Cuentas Comitentes;Open;0
BSTI-144;Desarrollo - Contabilidad - Plan de cuentas & Cabeceras Contables;Open;8
BSTI-144;Desarrollo - Contabilidad - Plan de cuentas & Cabeceras Contables;Open;0
BSTI-143;Desarrollo - Otra parametria y datos adicionales;Open;8
BSTI-143;Desarrollo - Otra parametria y datos adicionales;Open;0
BSTI-141;Desarrollo - VUELCOS DE POSICIONES - Órdenes y Operaciones no liquidadas;Open;8
BSTI-141;Desarrollo - VUELCOS DE POSICIONES - Órdenes y Operaciones no liquidadas;Open;0
BSTI-140;Desarrollo - VUELCOS DE POSICIONES - Posiciones en Otros custodios;Open;8
BSTI-140;Desarrollo - VUELCOS DE POSICIONES - Posiciones en Otros custodios;Open;0
BSTI-139;Desarrollo - VUELCOS DE POSICIONES - Vuelco Tenencias Caja Valores;Open;8
BSTI-139;Desarrollo - VUELCOS DE POSICIONES - Vuelco Tenencias Caja Valores;Open;0
BSTI-138;Desarrollo - VUELCOS DE CLIENTES - Vuelco Cuentas de Liquidación Monetaria y de Títulos;Open;8
BSTI-138;Desarrollo - VUELCOS DE CLIENTES - Vuelco Cuentas de Liquidación Monetaria y de Títulos;Open;0
BSTI-137;Desarrollo - VUELCOS DE CLIENTES - Vuelco Inicial Relaciones con Intervinientes;Open;8
BSTI-137;Desarrollo - VUELCOS DE CLIENTES - Vuelco Inicial Relaciones con Intervinientes;Open;0
BSTI-131;Testing - Integración desconexión automática;Ready To Test;1
BSTI-131;Testing - Integración desconexión automática;Ready To Test;0
BSTI-130;Testing - Integración Plazos Fijos BH;Closed;1
BSTI-130;Testing - Integración Plazos Fijos BH;Closed;0
BSTI-129;Testing - Integracion CAMBIOS (BH);Closed;3
BSTI-129;Testing - Integracion CAMBIOS (BH);Closed;0
BSTI-128;Analisis - Ajustes de reportes;Open;3
BSTI-128;Analisis - Ajustes de reportes;Open;0
BSTI-127;Analisis - Ajustes de vouchers;Open;8
BSTI-127;Analisis - Ajustes de vouchers;Open;0
BSTI-126;Testing - Ajustes de vouchers;Open;8
BSTI-126;Testing - Ajustes de vouchers;Open;0
BSTI-125;Testing - Ajustes de reportes;Open;3
BSTI-125;Testing - Ajustes de reportes;Open;0
BSTI-124;Testing - SISCEN 12;Open;8
BSTI-124;Testing - SISCEN 12;Open;0
BSTI-123;Testing - Boletos Cambios (Nuevo - BST - OCINBOL);Open;4
BSTI-123;Testing - Boletos Cambios (Nuevo - BST - OCINBOL);Open;0
BSTI-122;Testing - Boletos Arbitrajes (Nuevo - BST - OCINARB);Open;4
BSTI-122;Testing - Boletos Arbitrajes (Nuevo - BST - OCINARB);Open;0
BSTI-121;Testing - Riesgo Mercado;Open;3
BSTI-121;Testing - Riesgo Mercado;Open;0
BSTI-120;Testing - OPCAM;Open;1
BSTI-120;Testing - OPCAM;Open;0
BSTI-119;Testing - Siter;Open;5
BSTI-119;Testing - Siter;Open;0
BSTI-118;Testing - Operaciones a Termino;Open;3
BSTI-118;Testing - Operaciones a Termino;Open;0
BSTI-117;Testing - Lavado de Dinero;Open;1
BSTI-117;Testing - Lavado de Dinero;Open;0
BSTI-116;Desarrollo - SISCEN 12;Canceled;5
