Issue;Summary; Status; SPs
BSTI-185BSTI-184;Desarrollo - Consulta Ingresos brutos (Integracion Sistema de Interfaces Core);Open;3
BSTI-183;Desarrollo - Servicio de Consulta de Datos de Clientes + Relaciones Apoderados (Integracion Sistema interfaces Core);Open;3
BSTI-168;Testing - Regresionar integraciones;Open;4
BSTI-167;Testing - Integracion Envio Mails (MACRO);Closed;3
BSTI-166;Testing - Integracion Issues Produccion (MACRO);Open;4
BSTI-163;Testing - Parametria contables;Open;8
BSTI-162;Testing - Contabilidad - Plan de cuentas & Cabeceras Contables;Open;3
BSTI-161;Testing - Otra parametria y datos adicionales;Open;8
BSTI-160;Testing - VUELCOS DE POSICIONES - Plazos Fijos;Open;8
BSTI-159BSTI-158;Testing - VUELCOS DE POSICIONES - Posiciones en Otros custodios;Open;8
BSTI-157;Testing - VUELCOS DE POSICIONES - Vuelco Tenencias Caja Valores;Open;8
BSTI-156BSTI-155;Testing - VUELCOS DE CLIENTES - Vuelco Inicial Relaciones con Intervinientes;Open;8
BSTI-154;Testing - VUELCOS DE CLIENTES - Vuelco inicial Cuentas Comitentes;Open;8
BSTI-144;Desarrollo - Contabilidad - Plan de cuentas & Cabeceras Contables;Open;8
BSTI-143;Desarrollo - Otra parametria y datos adicionales;Open;8
BSTI-141BSTI-140;Desarrollo - VUELCOS DE POSICIONES - Posiciones en Otros custodios;Open;8
BSTI-139;Desarrollo - VUELCOS DE POSICIONES - Vuelco Tenencias Caja Valores;Open;8
BSTI-138BSTI-137;Desarrollo - VUELCOS DE CLIENTES - Vuelco Inicial Relaciones con Intervinientes;Open;8
BSTI-131BSTI-130BSTI-129;Testing - Integracion CAMBIOS (BH);Closed;3
BSTI-128;Analisis - Ajustes de reportes;Open;3
BSTI-127;Analisis - Ajustes de vouchers;Open;8
BSTI-126;Testing - Ajustes de vouchers;Open;8
BSTI-125;Testing - Ajustes de reportes;Open;3
BSTI-124;Testing - SISCEN 12;Open;8
BSTI-123;Testing - Boletos Cambios (Nuevo - BST - OCINBOL);Open;4
BSTI-122;Testing - Boletos Arbitrajes (Nuevo - BST - OCINARB);Open;4
BSTI-121;Testing - Riesgo Mercado;Open;3
BSTI-120;Testing - OPCAM;Open;1
BSTI-119;Testing - Siter;Open;5
BSTI-118;Testing - Operaciones a Termino;Open;3
BSTI-117;Testing - Lavado de Dinero;Open;1
BSTI-116;Desarrollo - SISCEN 12;Canceled;5
BSTI-115;Desarrollo -  Boletos Cambios (Nuevo - BST - OCINBOL);Open;1
BSTI-114;Desarrollo - Boletos Arbitrajes (Nuevo - BST - OCINARB);Open;1
BSTI-113;Desarrollo - Riesgo Mercado;Open;3
BSTI-112;Desarrollo - OPCAM;Open;1
BSTI-111;Desarrollo - Siter;Open;8
BSTI-110;Desarrollo - Operaciones a Termino;Canceled;1
BSTI-109;Desarrollo - Lavado de Dinero;Open;1
BSTI-108;Analisis - SISCEN 12;Canceled;5
BSTI-107;Analisis - Boletos Cambios (Nuevo - BST - OCINBOL);Open;1
BSTI-106;Anallisis - Boletos Arbitrajes (Nuevo - BST - OCINARB);Open;1
BSTI-105;Analisis - Riesgo Mercado;Open;8
BSTI-104;Analisis - OPCAM;Open;1
BSTI-103;Analisis - Siter;Open;5
BSTI-102;Analisis - Operaciones a Termino;Canceled;8
BSTI-101;Analisis - Lavado de Dinero;Open;1
BSTI-100;Desarrollo - Interfaz de Asientos Contables;Canceled;5
BSTI-99;Desarrollo - Servicio de Productos de un cliente;In Progress;8
BSTI-98;Desarrollo - Servicio de Consulta de Datos de Clientes + Relaciones Apoderados;Ready To Merge;3
BSTI-97BSTI-96;Analisis - Interfaz de Asientos Contables;Canceled;3
BSTI-95;Analisis - Servicio de Productos de un cliente;Open;3
BSTI-94;Analisis - Servicio de Consulta de Datos de Clientes;In Progress;3
BSTI-93BSTI-92;Testing - Interfaz de Asientos Contables;Open;5
BSTI-91;Testing - Servicio de Productos de un cliente;Open;5
BSTI-90;Testing - Servicio de Consulta de Datos de Clientes;Open;5
BSTI-89BSTI-88;Testing - Parametria de ingresos brutos;Open;3
BSTI-87;Analisis - Parametria de ingresos brutos;Open;3
BSTI-86;Testing - Consulta Ingresos brutos;Open;3
BSTI-85;Analisis - Consulta Ingresos brutos;Open;3
BSTI-84;Desarrollo - Consulta Ingresos brutos;Ready To Merge;5
BSTI-83BSTI-82;Integracion Envio Mails (MACRO);Closed;1
BSTI-81;Integracion Dispatcher System;Closed;8
BSTI-79;Integracion desconexion automatica de usuarios;Closed;8
BSTI-77BSTI-74;Integracion Plazos Fijos BH;Closed;1
BSTI-70BSTI-69BSTI-68BSTI-67BSTI-66BSTI-65BSTI-64BSTI-63BSTI-61;Homologacion y pruebas ruteador;Open;3
BSTI-59BSTI-58;Desarrollo - VUELCOS DE CLIENTES - Vuelco inicial Cuentas Comitentes;Closed;8
BSTI-57;Desarrollo - Ajustes de vouchers;Open;1
BSTI-56;Desarrollo - Ajustes de reportes;Open;1
BSTI-55;Testing - Titulos Valores;Open;3
BSTI-54;Desarrollo - Titulos Valores;In Progress;1
BSTI-53;Analisis - Titulos Valores;Approved;3
BSTI-52BSTI-51;Desarrollo - Parametria de ingresos brutos;Open;5
BSTI-50BSTI-48BSTI-47;Desarrollo - Integracion Issues Produccion (MACRO);Closed;1
BSTI-45;Analisis - Parametria contable;In Progress;3
BSTI-31BSTI-30BSTI-29;Integracion CAMBIOS BH;Closed;1
BSTI-28;Integracion actualizaciones posteriores de ruteador;Closed;3
BSTI-27BSTI-11BSTI-10BSTI-9BSTI-7BSTI-6BSTI-4BSTI-3BSTI-2BSTI-1
